pName,ID,PE,bType1,bType2,cName,cType,Size,nbCC,nbUse,nbOver,nbCS,nbUseAE,nbUseAN,nbUseDE,nbUseDN,nbUseC,nbUseU,nbUpAnRe,nbAnUnEd,aName,Date
M66B/NetGuard,6b625e5634d376d7d918be156fcb1ec1b7b8d239,false,false,false,app/src/main/java/eu/faircode/netguard/ActivityForwardApproval.java,M,70,4,3,3,0,0,0,0,0,0,0,0,2,M66B <M66B@users.noreply.github.com>,Sat Oct 28 16:08:06 2017 +0200
M66B/NetGuard,6b625e5634d376d7d918be156fcb1ec1b7b8d239,false,false,false,app/src/main/java/eu/faircode/netguard/ApplicationEx.java,M,33,1,3,2,0,0,0,0,0,0,0,0,1,M66B <M66B@users.noreply.github.com>,Sat Oct 28 16:08:06 2017 +0200
M66B/NetGuard,6b625e5634d376d7d918be156fcb1ec1b7b8d239,false,false,false,app/src/main/java/eu/faircode/netguard/Util.java,M,709,4,7,4,0,0,0,0,0,0,0,0,2,M66B <M66B@users.noreply.github.com>,Sat Oct 28 16:08:06 2017 +0200
M66B/NetGuard,1d27b5723d301d8ae827f35090a75d8b8a0d3afc,false,false,false,app/src/main/java/eu/faircode/netguard/ApplicationEx.java,M,32,2,3,2,0,0,0,0,0,0,0,0,1,M66B <M66B@users.noreply.github.com>,Fri Oct 27 16:48:14 2017 +0200
M66B/NetGuard,b572773e3b491984c94f1c8626bdf081c8781ff1,false,false,false,app/src/main/java/eu/faircode/netguard/ActivityMain.java,M,993,7,59,57,0,0,0,0,0,0,0,0,3,M66B <M66B@users.noreply.github.com>,Sun Oct 15 14:31:51 2017 +0200
M66B/NetGuard,56ca3ceee034ce5305df7b42835d6f24e6812827,false,false,false,app/src/main/java/eu/faircode/netguard/Rule.java,M,367,19,3,3,0,0,0,0,0,0,0,0,14,M66B <M66B@users.noreply.github.com>,Thu Sep 28 10:04:06 2017 +0200
M66B/NetGuard,c493a4e3fa6cffede59f02a49437aacde66cc2ca,false,true,true,app/src/main/java/eu/faircode/netguard/AdapterRule.java,M,767,10,39,37,0,0,1,0,0,0,0,0,12,M66B <M66B@users.noreply.github.com>,Tue Sep 19 11:14:57 2017 +0200
M66B/NetGuard,4d8431e7069a32b6676cdbe76e2d2b0416382244,false,true,true,app/src/main/java/eu/faircode/netguard/ActivityPro.java,M,265,2,10,10,0,0,0,0,0,0,0,0,4,M66B <M66B@users.noreply.github.com>,Tue Sep 12 07:11:35 2017 +0200
M66B/NetGuard,9876388636fc3caa22ad0707d4caa5d018037001,false,true,true,app/src/main/java/eu/faircode/netguard/Util.java,M,705,1,7,4,0,0,0,0,0,0,0,0,1,M66B <M66B@users.noreply.github.com>,Sat Sep 9 08:04:57 2017 +0200
M66B/NetGuard,2671c34976116b13d35b2154cb44999838f6d220,false,false,false,app/src/main/java/eu/faircode/netguard/AdapterLog.java,M,294,4,9,9,0,0,0,0,0,0,0,0,2,M66B <M66B@users.noreply.github.com>,Thu Aug 24 17:23:42 2017 +0200
M66B/NetGuard,2671c34976116b13d35b2154cb44999838f6d220,false,false,false,app/src/main/java/eu/faircode/netguard/AdapterRule.java,M,758,4,38,36,0,0,0,0,0,0,0,0,2,M66B <M66B@users.noreply.github.com>,Thu Aug 24 17:23:42 2017 +0200
M66B/NetGuard,3822d28a23144c000c1a1b8c56ba3e42f94b164d,false,false,false,app/src/main/java/eu/faircode/netguard/ActivityMain.java,M,986,5,59,57,0,0,0,0,0,0,0,0,5,M66B <M66B@users.noreply.github.com>,Mon Aug 14 09:22:34 2017 +0200
M66B/NetGuard,26c1d10eef98a423595b0f2f806278a92c63309b,false,false,false,app/src/main/java/eu/faircode/netguard/AdapterRule.java,M,754,10,38,36,0,0,1,0,0,0,0,0,1,M66B <M66B@users.noreply.github.com>,Sat Aug 12 16:26:39 2017 +0200
M66B/NetGuard,0f5fa4bfe96eb6288be637a1714999e8ae2ae501,false,false,false,app/src/main/java/eu/faircode/netguard/ApplicationEx.java,M,34,3,3,2,0,0,0,0,0,0,0,0,6,M66B <M66B@users.noreply.github.com>,Sat Aug 12 13:12:43 2017 +0200
M66B/NetGuard,7634df3c050c382b56324e9bd78a9a00d3206274,false,false,false,app/src/main/java/eu/faircode/netguard/Util.java,M,705,1,7,4,0,0,0,0,0,0,0,0,2,M66B <M66B@users.noreply.github.com>,Fri Aug 11 09:09:44 2017 +0200
M66B/NetGuard,a86f281409ec5618f247dd3a23ccc82aa20c091e,false,false,false,app/src/main/java/eu/faircode/netguard/ApplicationEx.java,M,34,24,3,2,0,0,1,0,0,0,0,0,14,M66B <M66B@users.noreply.github.com>,Tue Aug 8 11:10:51 2017 +0200
M66B/NetGuard,a86f281409ec5618f247dd3a23ccc82aa20c091e,false,false,false,app/src/main/java/eu/faircode/netguard/Util.java,M,705,6,7,4,0,0,1,0,0,0,0,0,5,M66B <M66B@users.noreply.github.com>,Tue Aug 8 11:10:51 2017 +0200
M66B/NetGuard,6344a8221166ececa363fe4d534a1a53127e535d,false,false,false,app/src/main/java/eu/faircode/netguard/ActivityPro.java,M,264,1,10,10,0,0,0,0,0,0,0,0,2,M66B <M66B@users.noreply.github.com>,Sun Aug 6 17:35:59 2017 +0200
M66B/NetGuard,d5c22f455f7751cb9e882d8d35cf9135111d8acf,false,false,false,app/src/main/java/eu/faircode/netguard/AdapterRule.java,M,744,3,37,35,0,0,0,0,0,0,0,0,9,M66B <M66B@users.noreply.github.com>,Sun Aug 6 17:33:08 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/ActivityDns.java,M,84,1,9,9,0,0,0,0,0,0,0,0,0,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/ActivityForwardApproval.java,M,66,3,3,3,0,0,0,0,0,0,0,0,0,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/ActivityForwarding.java,M,173,8,18,18,0,0,0,0,0,0,0,0,1,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/ActivityLog.java,M,466,7,20,20,0,0,0,0,0,0,0,0,4,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/ActivityMain.java,M,982,49,59,57,0,0,0,0,0,0,0,0,11,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/ActivityPro.java,M,264,41,10,10,0,0,0,0,0,0,0,0,10,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/AdapterAccess.java,M,117,10,5,5,0,0,0,0,0,0,0,0,4,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/AdapterDns.java,M,47,6,2,2,0,0,0,0,0,0,0,0,1,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/AdapterForwarding.java,M,38,6,2,2,0,0,0,0,0,0,0,0,1,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/AdapterLog.java,M,290,16,9,9,0,0,0,0,0,0,0,0,3,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/AdapterRule.java,M,744,45,37,35,0,0,0,0,0,0,0,0,0,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/DatabaseHelper.java,M,831,1,5,5,0,0,0,0,0,0,0,0,1,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/DownloadTask.java,M,108,30,5,5,0,0,2,0,3,0,0,0,52,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/IPUtil.java,M,91,2,3,2,0,1,0,0,0,0,0,0,0,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/Util.java,M,702,3,6,4,0,0,0,0,0,0,0,0,4,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,3cfd8cde23396f98da8b5b3636f2a13429f194b7,false,true,true,app/src/main/java/eu/faircode/netguard/WidgetAdmin.java,M,53,3,1,1,0,0,0,0,0,0,0,0,4,M66B <M66B@users.noreply.github.com>,Sat Aug 5 10:27:27 2017 +0200
M66B/NetGuard,48eb05be795def5a501961a40e344da677fb5a6a,false,false,false,app/src/main/java/eu/faircode/netguard/DownloadTask.java,M,112,1,6,6,0,0,0,0,0,0,0,0,1,M66B <M66B@users.noreply.github.com>,Fri Aug 4 22:02:08 2017 +0200
M66B/NetGuard,48eb05be795def5a501961a40e344da677fb5a6a,false,false,false,app/src/main/java/eu/faircode/netguard/WidgetMain.java,M,34,1,1,1,0,0,0,0,0,0,0,0,2,M66B <M66B@users.noreply.github.com>,Fri Aug 4 22:02:08 2017 +0200
M66B/NetGuard,7c85c8a4b22dcf09910a08697ebe139b5300c969,false,false,false,app/src/main/java/eu/faircode/netguard/DatabaseHelper.java,M,831,3,5,5,0,0,0,0,0,0,0,0,3,M66B <M66B@users.noreply.github.com>,Fri Aug 4 08:24:03 2017 +0200
M66B/NetGuard,feb4430aa3feda5bd827d98ebc8b7a73a85de7db,false,false,false,app/src/main/java/eu/faircode/netguard/AdapterLog.java,M,293,21,9,9,0,0,1,0,0,0,0,0,8,M66B <M66B@users.noreply.github.com>,Fri Aug 4 08:23:43 2017 +0200
M66B/NetGuard,feb4430aa3feda5bd827d98ebc8b7a73a85de7db,false,false,false,app/src/main/java/eu/faircode/netguard/AdapterRule.java,M,744,12,37,35,0,0,0,0,0,0,0,0,13,M66B <M66B@users.noreply.github.com>,Fri Aug 4 08:23:43 2017 +0200
M66B/NetGuard,670c4599e17a8bc754542c6b8e65e45223667e2a,false,false,false,app/src/main/java/eu/faircode/netguard/WidgetAdmin.java,M,50,3,1,1,0,0,0,0,0,0,0,0,4,M66B <M66B@users.noreply.github.com>,Thu Aug 3 22:09:33 2017 +0200
M66B/NetGuard,0c820c12fc3a87716a1ec9f6213a70bd69d17735,false,false,false,app/src/main/java/eu/faircode/netguard/Receiver.java,M,81,6,1,1,0,0,0,0,0,0,0,0,2,M66B <M66B@users.noreply.github.com>,Thu Aug 3 22:09:21 2017 +0200
M66B/NetGuard,76f8137c6c5ff2ca14b637be85f6eb13913fde17,false,true,true,app/src/main/java/eu/faircode/netguard/ServiceTileMain.java,M,55,3,2,1,0,0,0,0,0,0,0,0,4,M66B <M66B@users.noreply.github.com>,Thu Aug 3 18:09:41 2017 +0200
