pName,ID,PE,bType1,bType2,cName,cType,Size,nbCC,nbUse,nbOver,nbCS,nbUseAE,nbUseAN,nbUseDE,nbUseDN,nbUseC,nbUseU,nbUpAnRe,nbAnUnEd,aName,Date
VREMSoftwareDevelopment/WiFiAnalyzer,685c4b99b0637bcb90f89e831efce0a5c7c46b1c,false,false,false,app/src/main/java/com/vrem/util/ConfigurationUtils.java,M,30,37,11,0,1,0,3,0,7,1,0,1,38,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Mon Oct 23 21:34:47 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,685c4b99b0637bcb90f89e831efce0a5c7c46b1c,false,false,false,app/src/main/java/com/vrem/util/LocaleUtils.java,M,100,21,11,4,0,0,0,0,0,0,0,0,39,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Mon Oct 23 21:34:47 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,685c4b99b0637bcb90f89e831efce0a5c7c46b1c,false,false,false,app/src/main/java/com/vrem/wifianalyzer/MainActivity.java,M,155,1,13,11,0,0,0,0,0,0,0,0,3,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Mon Oct 23 21:34:47 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,685c4b99b0637bcb90f89e831efce0a5c7c46b1c,false,false,false,app/src/main/java/com/vrem/wifianalyzer/MainContext.java,M,69,1,1,0,0,0,0,0,0,0,0,0,2,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Mon Oct 23 21:34:47 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,685c4b99b0637bcb90f89e831efce0a5c7c46b1c,false,false,false,app/src/main/java/com/vrem/wifianalyzer/settings/CountryPreference.java,M,23,1,3,1,0,0,0,0,0,0,0,0,3,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Mon Oct 23 21:34:47 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,685c4b99b0637bcb90f89e831efce0a5c7c46b1c,false,false,false,app/src/main/java/com/vrem/wifianalyzer/settings/LanguagePreference.java,M,19,4,3,1,0,0,0,0,0,0,0,0,8,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Mon Oct 23 21:34:47 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,685c4b99b0637bcb90f89e831efce0a5c7c46b1c,false,false,false,app/src/main/java/com/vrem/wifianalyzer/settings/Settings.java,M,111,5,10,0,0,0,0,0,1,0,0,0,9,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Mon Oct 23 21:34:47 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,cdd8e0aa2bc4416bf00c491242db2449737f2945,false,false,false,app/src/main/java/com/vrem/wifianalyzer/settings/LanguagePreference.java,M,21,1,3,1,0,0,0,0,0,0,0,0,2,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 17:11:25 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,ea66b4bd3923d9058fc249659432a5ec6fc2f9ee,false,false,false,app/src/main/java/com/vrem/wifianalyzer/about/AboutActivity.java,M,74,11,4,3,0,0,1,0,0,0,0,0,2,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 13:41:28 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,ea66b4bd3923d9058fc249659432a5ec6fc2f9ee,false,false,false,app/src/main/java/com/vrem/wifianalyzer/settings/SettingActivity.java,M,47,11,4,4,0,0,1,0,0,0,0,0,2,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 13:41:28 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,54afe2c770f492d007ec509957c3bc49a5ad29c0,false,false,false,app/src/main/java/com/vrem/wifianalyzer/MainContext.java,M,69,12,1,0,0,0,0,0,0,0,0,0,9,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 13:17:08 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,54afe2c770f492d007ec509957c3bc49a5ad29c0,false,false,false,app/src/main/java/com/vrem/wifianalyzer/navigation/options/WiFiSwitchOn.java,M,36,1,3,1,0,0,0,0,0,0,0,0,3,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 13:17:08 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,54afe2c770f492d007ec509957c3bc49a5ad29c0,false,false,false,app/src/main/java/com/vrem/wifianalyzer/vendor/VendorAdapter.java,M,43,1,8,2,0,0,0,0,0,0,0,0,3,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 13:17:08 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,54afe2c770f492d007ec509957c3bc49a5ad29c0,false,false,false,app/src/main/java/com/vrem/wifianalyzer/wifi/accesspoint/AccessPointDetail.java,M,105,10,14,0,0,0,0,0,0,0,0,0,18,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 13:17:08 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,54afe2c770f492d007ec509957c3bc49a5ad29c0,false,false,false,app/src/main/java/com/vrem/wifianalyzer/wifi/accesspoint/AccessPointPopup.java,M,42,1,7,2,0,0,0,0,0,0,0,0,1,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 13:17:08 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,54afe2c770f492d007ec509957c3bc49a5ad29c0,false,false,false,app/src/main/java/com/vrem/wifianalyzer/wifi/channelavailable/ChannelAvailableAdapter.java,M,29,1,6,1,0,0,0,0,0,0,0,0,3,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 13:17:08 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,54afe2c770f492d007ec509957c3bc49a5ad29c0,false,false,false,app/src/main/java/com/vrem/wifianalyzer/wifi/channelgraph/ChannelGraphView.java,M,76,5,8,2,0,0,0,0,0,0,0,0,9,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 13:17:08 2017 -0400
VREMSoftwareDevelopment/WiFiAnalyzer,54afe2c770f492d007ec509957c3bc49a5ad29c0,false,false,false,app/src/main/java/com/vrem/wifianalyzer/wifi/channelrating/ChannelRatingAdapter.java,M,110,1,11,2,0,0,0,0,0,0,0,0,3,VREM Software Development <VREMSoftwareDevelopment@gmail.com>,Sun Oct 22 13:17:08 2017 -0400
